page_id,candidate_label,statue_id,source_type,source_query,commons_title,commons_page_url,download_url,local_path,sha1,width,height,license,author
14534125,samathi,Emerald Buddha,category,Category:Emerald Buddha,File:Emerald Buddah Bangkok.jpg,https://commons.wikimedia.org/wiki/File:Emerald_Buddah_Bangkok.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9b/Emerald_Buddah_Bangkok.jpg,images/samathi/14534125_Emerald_Buddah_Bangkok.jpg,8e3d18f7add4513a32d0627d609f1456fb268bf8,1247,1149,CC0,Russell Wade
123334815,samathi,Emerald Buddha,category,Category:Emerald Buddha,File:(2022) พระบรมมหาราชวังและวัดพระศรีรัตนศาสดาราม เขตพระนคร กรุงเทพมหานคร (34).jpg,https://commons.wikimedia.org/wiki/File:(2022)_%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%A3%E0%B8%A1%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A7%E0%B8%B1%E0%B8%87%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%94%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1_%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%99%E0%B8%84%E0%B8%A3_%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3_(34).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/%282022%29_%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%A3%E0%B8%A1%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A7%E0%B8%B1%E0%B8%87%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%94%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1_%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%99%E0%B8%84%E0%B8%A3_%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3_%2834%29.jpg/1920px-thumbnail.jpg,images/samathi/123334815_(2022)_พระบรมมหาราชวังและวัดพระศรีรัตนศาสดาราม_เขตพระนคร_กรุงเทพมหานคร_(34).jpg,8865345f711a5a3c13cc3c7c032087dcc4a3ddfd,4000,6000,CC BY-SA 4.0,กสิณธร ราชโอรส
123334850,samathi,Emerald Buddha,category,Category:Emerald Buddha,File:(2022) พระบรมมหาราชวังและวัดพระศรีรัตนศาสดาราม เขตพระนคร กรุงเทพมหานคร (48).jpg,https://commons.wikimedia.org/wiki/File:(2022)_%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%A3%E0%B8%A1%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A7%E0%B8%B1%E0%B8%87%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%94%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1_%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%99%E0%B8%84%E0%B8%A3_%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3_(48).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/%282022%29_%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%A3%E0%B8%A1%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A7%E0%B8%B1%E0%B8%87%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%94%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1_%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%99%E0%B8%84%E0%B8%A3_%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3_%2848%29.jpg/1920px-thumbnail.jpg,images/samathi/123334850_(2022)_พระบรมมหาราชวังและวัดพระศรีรัตนศาสดาราม_เขตพระนคร_กรุงเทพมหานคร_(48).jpg,aa277952c0a8c7a8b5abd3caaddf25fe7e233e2d,4592,3448,CC BY-SA 4.0,กสิณธร ราชโอรส
123334874,samathi,Emerald Buddha,category,Category:Emerald Buddha,File:(2022) พระบรมมหาราชวังและวัดพระศรีรัตนศาสดาราม เขตพระนคร กรุงเทพมหานคร (29).jpg,https://commons.wikimedia.org/wiki/File:(2022)_%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%A3%E0%B8%A1%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A7%E0%B8%B1%E0%B8%87%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%94%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1_%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%99%E0%B8%84%E0%B8%A3_%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3_(29).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/%282022%29_%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%A3%E0%B8%A1%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A7%E0%B8%B1%E0%B8%87%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%94%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1_%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%99%E0%B8%84%E0%B8%A3_%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3_%2829%29.jpg/1920px-thumbnail.jpg,images/samathi/123334874_(2022)_พระบรมมหาราชวังและวัดพระศรีรัตนศาสดาราม_เขตพระนคร_กรุงเทพมหานคร_(29).jpg,6481b38ae1142a1ae8508743c7a66ae62cef8396,4000,6000,CC BY-SA 4.0,กสิณธร ราชโอรส
131094489,samathi,Emerald Buddha,category,Category:Emerald Buddha,File:Burmese sign at Na Phra Lan Pedestrian Tunnel.jpg,https://commons.wikimedia.org/wiki/File:Burmese_sign_at_Na_Phra_Lan_Pedestrian_Tunnel.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Burmese_sign_at_Na_Phra_Lan_Pedestrian_Tunnel.jpg/1920px-Burmese_sign_at_Na_Phra_Lan_Pedestrian_Tunnel.jpg,images/samathi/131094489_Burmese_sign_at_Na_Phra_Lan_Pedestrian_Tunnel.jpg,35ac6a0e88bddf025b790b7b151881afd1028f09,3024,4032,CC BY-SA 4.0,Griff88
5802733,samathi,Jade Buddha of Chiang Rai,category,Category:Jade Buddha of Chiang Rai,File:Chiang Rai-Wat Phra Kaeo-001.jpg,https://commons.wikimedia.org/wiki/File:Chiang_Rai-Wat_Phra_Kaeo-001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Chiang_Rai-Wat_Phra_Kaeo-001.jpg/1920px-Chiang_Rai-Wat_Phra_Kaeo-001.jpg,images/samathi/5802733_Chiang_Rai-Wat_Phra_Kaeo-001.jpg,631ce36ce7b2085b31bb9073f9a05c8c556ee0d1,2491,3737,CC BY-SA 3.0,Ddalbiez
61046397,samathi,Jade Buddha of Chiang Rai,category,Category:Jade Buddha of Chiang Rai,"File:Wat Phra Kaeo, Chiang Rai - 2017-06-27 (054).jpg","https://commons.wikimedia.org/wiki/File:Wat_Phra_Kaeo,_Chiang_Rai_-_2017-06-27_(054).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Wat_Phra_Kaeo%2C_Chiang_Rai_-_2017-06-27_%28054%29.jpg/1920px-Wat_Phra_Kaeo%2C_Chiang_Rai_-_2017-06-27_%28054%29.jpg,"images/samathi/61046397_Wat_Phra_Kaeo,_Chiang_Rai_-_2017-06-27_(054).jpg",c7d2697d9635effbda91cade1d63da4e02e4b061,4032,3024,CC0,Iudexvivorum
61046398,samathi,Jade Buddha of Chiang Rai,category,Category:Jade Buddha of Chiang Rai,"File:Wat Phra Kaeo, Chiang Rai - 2017-06-27 (055).jpg","https://commons.wikimedia.org/wiki/File:Wat_Phra_Kaeo,_Chiang_Rai_-_2017-06-27_(055).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Wat_Phra_Kaeo%2C_Chiang_Rai_-_2017-06-27_%28055%29.jpg/1920px-Wat_Phra_Kaeo%2C_Chiang_Rai_-_2017-06-27_%28055%29.jpg,"images/samathi/61046398_Wat_Phra_Kaeo,_Chiang_Rai_-_2017-06-27_(055).jpg",9d445683361de64d58525a035e6cc3d662316adc,3024,4032,CC0,Iudexvivorum
61046399,samathi,Jade Buddha of Chiang Rai,category,Category:Jade Buddha of Chiang Rai,"File:Wat Phra Kaeo, Chiang Rai - 2017-06-27 (056).jpg","https://commons.wikimedia.org/wiki/File:Wat_Phra_Kaeo,_Chiang_Rai_-_2017-06-27_(056).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Wat_Phra_Kaeo%2C_Chiang_Rai_-_2017-06-27_%28056%29.jpg/1920px-Wat_Phra_Kaeo%2C_Chiang_Rai_-_2017-06-27_%28056%29.jpg,"images/samathi/61046399_Wat_Phra_Kaeo,_Chiang_Rai_-_2017-06-27_(056).jpg",f4e6daa77e17115df50f7644caafaea83df90e3d,3024,4032,CC0,Iudexvivorum
61046400,samathi,Jade Buddha of Chiang Rai,category,Category:Jade Buddha of Chiang Rai,"File:Wat Phra Kaeo, Chiang Rai - 2017-06-27 (057).jpg","https://commons.wikimedia.org/wiki/File:Wat_Phra_Kaeo,_Chiang_Rai_-_2017-06-27_(057).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Wat_Phra_Kaeo%2C_Chiang_Rai_-_2017-06-27_%28057%29.jpg/1920px-Wat_Phra_Kaeo%2C_Chiang_Rai_-_2017-06-27_%28057%29.jpg,"images/samathi/61046400_Wat_Phra_Kaeo,_Chiang_Rai_-_2017-06-27_(057).jpg",f54aecfa2b3b6037b0a3f9453fa0967846494373,3024,4032,CC0,Iudexvivorum
